Deck A,Deck B,Different,Same,Jaccard,,
Arclight Phoenix,Goblins,145.8,2.1,0.014198783,"{""source"": ""Arclight Phoenix"", ""target"": ""Goblins"", ""value"":0.01419878296146045},","{""source"": ""Arclight Phoenix"", ""target"": ""Goblins"", ""value"":0.00020160543758665958},"
Arclight Phoenix,Grixis Control,83.75,33.125,0.28342246,"{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Control"", ""value"":0.2834224598930482},","{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Control"", ""value"":0.08032829077182652},"
Arclight Phoenix,Grixis Delver,88.8,30.6,0.256281407,"{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Delver"", ""value"":0.25628140703517577},","{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Delver"", ""value"":0.06568015959192944},"
Arclight Phoenix,Humans,145.6,2.2,0.01488498,"{""source"": ""Arclight Phoenix"", ""target"": ""Humans"", ""value"":0.014884979702300403},","{""source"": ""Arclight Phoenix"", ""target"": ""Humans"", ""value"":0.000221562620737895},"
Arclight Phoenix,Infect,111.9,19.3,0.147103659,"{""source"": ""Arclight Phoenix"", ""target"": ""Infect"", ""value"":0.1471036585365853},","{""source"": ""Arclight Phoenix"", ""target"": ""Infect"", ""value"":0.021639486354848286},"
Arclight Phoenix,Junk,123.2,13.4,0.098096633,"{""source"": ""Arclight Phoenix"", ""target"": ""Junk"", ""value"":0.09809663250366035},","{""source"": ""Arclight Phoenix"", ""target"": ""Junk"", ""value"":0.009622949308558193},"
Arclight Phoenix,Lands,146.2,1.971428573,0.013305052,"{""source"": ""Arclight Phoenix"", ""target"": ""Lands"", ""value"":0.013305052073891164},","{""source"": ""Arclight Phoenix"", ""target"": ""Lands"", ""value"":0.00017702441068895554},"
Arclight Phoenix,Legacy Landstill,118.4,15.8,0.117734724,"{""source"": ""Arclight Phoenix"", ""target"": ""Legacy Landstill"", ""value"":0.11773472429210138},","{""source"": ""Arclight Phoenix"", ""target"": ""Legacy Landstill"", ""value"":0.013861465304137127},"
Arclight Phoenix,LOAM,136.2,7.066666666,0.049325268,"{""source"": ""Arclight Phoenix"", ""target"": ""LOAM"", ""value"":0.049325267561886106},","{""source"": ""Arclight Phoenix"", ""target"": ""LOAM"", ""value"":0.0024329820200516537},"
Arclight Phoenix,Maverick,146.1333333,1.933333333,0.013057181,"{""source"": ""Arclight Phoenix"", ""target"": ""Maverick"", ""value"":0.013057181447869494},","{""source"": ""Arclight Phoenix"", ""target"": ""Maverick"", ""value"":0.0001704899873625873},"
Arclight Phoenix,Merfolk,137.4,6.3,0.043841336,"{""source"": ""Arclight Phoenix"", ""target"": ""Merfolk"", ""value"":0.04384133611691024},","{""source"": ""Arclight Phoenix"", ""target"": ""Merfolk"", ""value"":0.0019220627525158983},"
Arclight Phoenix,Nic Fit,129.3333333,10.33333333,0.07398568,"{""source"": ""Arclight Phoenix"", ""target"": ""Nic Fit"", ""value"":0.07398568019101621},","{""source"": ""Arclight Phoenix"", ""target"": ""Nic Fit"", ""value"":0.005473880873327329},"
Arclight Phoenix,Painter,140.8,4.6,0.031636864,"{""source"": ""Arclight Phoenix"", ""target"": ""Painter"", ""value"":0.03163686382393397},","{""source"": ""Arclight Phoenix"", ""target"": ""Painter"", ""value"":0.001000891152614142},"
Arclight Phoenix,Pikula,125.4,12.3,0.089324619,"{""source"": ""Arclight Phoenix"", ""target"": ""Pikula"", ""value"":0.08932461873638343},","{""source"": ""Arclight Phoenix"", ""target"": ""Pikula"", ""value"":0.007978887512400263},"
Arclight Phoenix,Reanimator,113.3,18.43333333,0.13992915,"{""source"": ""Arclight Phoenix"", ""target"": ""Reanimator"", ""value"":0.13992914980298574},","{""source"": ""Arclight Phoenix"", ""target"": ""Reanimator"", ""value"":0.019580166964586424},"
Arclight Phoenix,Slivers,147.6,1.2,0.008064516,"{""source"": ""Arclight Phoenix"", ""target"": ""Slivers"", ""value"":0.00806451612903226},","{""source"": ""Arclight Phoenix"", ""target"": ""Slivers"", ""value"":6.503642039542146e-05},"
Arclight Phoenix,Sneak & Show,106.2,21.93846154,0.171209029,"{""source"": ""Arclight Phoenix"", ""target"": ""Sneak & Show"", ""value"":0.17120902870487195},","{""source"": ""Arclight Phoenix"", ""target"": ""Sneak & Show"", ""value"":0.02931253151006567},"
Arclight Phoenix,Stoneblade,109.6,20.2,0.155624037,"{""source"": ""Arclight Phoenix"", ""target"": ""Stoneblade"", ""value"":0.15562403697996913},","{""source"": ""Arclight Phoenix"", ""target"": ""Stoneblade"", ""value"":0.024218840885942797},"
Arclight Phoenix,Storm,83.6,33.2,0.284246575,"{""source"": ""Arclight Phoenix"", ""target"": ""Storm"", ""value"":0.2842465753387714},","{""source"": ""Arclight Phoenix"", ""target"": ""Storm"", ""value"":0.08079611559181984},"
Arclight Phoenix,UR Delver,104.8,22.6,0.177394035,"{""source"": ""Arclight Phoenix"", ""target"": ""UR Delver"", ""value"":0.17739403453689168},","{""source"": ""Arclight Phoenix"", ""target"": ""UR Delver"", ""value"":0.031468643489275916},"
Arclight Phoenix,UWx Control,107.2875,21.3875,0.166213328,"{""source"": ""Arclight Phoenix"", ""target"": ""UWx Control"", ""value"":0.16621332815232176},","{""source"": ""Arclight Phoenix"", ""target"": ""UWx Control"", ""value"":0.027626870455471398},"
Arclight Phoenix,Zombie Bombardment,109.2,20.4,0.157407407,"{""source"": ""Arclight Phoenix"", ""target"": ""Zombie Bombardment"", ""value"":0.15740740740740747},","{""source"": ""Arclight Phoenix"", ""target"": ""Zombie Bombardment"", ""value"":0.024777091906721557},"
Belcher,Bomberman,134,8,0.056338028,"{""source"": ""Belcher"", ""target"": ""Bomberman"", ""value"":0.056338028169014086},","{""source"": ""Belcher"", ""target"": ""Bomberman"", ""value"":0.0031739734179726245},"
Belcher,Dark Depths,143.7777778,3.222222222,0.021919879,"{""source"": ""Belcher"", ""target"": ""Dark Depths"", ""value"":0.021919879061820944},","{""source"": ""Belcher"", ""target"": ""Dark Depths"", ""value"":0.0004804810980848562},"
Belcher,Doomsday,124,13,0.094890511,"{""source"": ""Belcher"", ""target"": ""Doomsday"", ""value"":0.0948905109489051},","{""source"": ""Belcher"", ""target"": ""Doomsday"", ""value"":0.00900420906814428},"
Belcher,Dragon Stompy,130.8333333,9.666666667,0.068801898,"{""source"": ""Belcher"", ""target"": ""Dragon Stompy"", ""value"":0.0688018979862548},","{""source"": ""Belcher"", ""target"": ""Dragon Stompy"", ""value"":0.004733701166511012},"
Belcher,Dredge,144,3,0.020408163,"{""source"": ""Belcher"", ""target"": ""Dredge"", ""value"":0.02040816326530612},","{""source"": ""Belcher"", ""target"": ""Dredge"", ""value"":0.00041649312786339016},"
Belcher,Goblins,148,1,0.006711409,"{""source"": ""Belcher"", ""target"": ""Goblins"", ""value"":0.006711409395973154},","{""source"": ""Belcher"", ""target"": ""Goblins"", ""value"":4.504301608035674e-05},"
Belcher,Grixis Control,147.5,1.25,0.008403361,"{""source"": ""Belcher"", ""target"": ""Grixis Control"", ""value"":0.008403361344537815},","{""source"": ""Belcher"", ""target"": ""Grixis Control"", ""value"":7.06164818868724e-05},"
Belcher,Lands,147.8571429,1.142857143,0.007670182,"{""source"": ""Belcher"", ""target"": ""Lands"", ""value"":0.007670182167733755},","{""source"": ""Belcher"", ""target"": ""Lands"", ""value"":5.8831694486220884e-05},"
Belcher,Pikula,146,2,0.013513514,"{""source"": ""Belcher"", ""target"": ""Pikula"", ""value"":0.013513513513513514},","{""source"": ""Belcher"", ""target"": ""Pikula"", ""value"":0.00018261504747991238},"
Belcher,Reanimator,138.8333333,5.666666666,0.039215686,"{""source"": ""Belcher"", ""target"": ""Reanimator"", ""value"":0.03921568626962482},","{""source"": ""Belcher"", ""target"": ""Reanimator"", ""value"":0.0015378700495976409},"
Belcher,Sneak & Show,142.0769231,4,0.027382833,"{""source"": ""Belcher"", ""target"": ""Sneak & Show"", ""value"":0.027382833069460065},","{""source"": ""Belcher"", ""target"": ""Sneak & Show"", ""value"":0.0007498195469099157},"
Belcher,Storm,119.5555556,15.22222222,0.112943116,"{""source"": ""Belcher"", ""target"": ""Storm"", ""value"":0.1129431162414044},","{""source"": ""Belcher"", ""target"": ""Storm"", ""value"":0.012756147506319388},"
Bomberman,Burn,146,2,0.013513514,"{""source"": ""Bomberman"", ""target"": ""Burn"", ""value"":0.013513513513422209},","{""source"": ""Bomberman"", ""target"": ""Burn"", ""value"":0.00018261504747744465},"
Bomberman,Cloudpost Ramp,132.6666667,8.666666666,0.061320755,"{""source"": ""Bomberman"", ""target"": ""Cloudpost Ramp"", ""value"":0.061320754712842644},","{""source"": ""Bomberman"", ""target"": ""Cloudpost Ramp"", ""value"":0.0037602349585526135},"
Bomberman,Dark Depths,145.3333333,2.444444445,0.016541353,"{""source"": ""Bomberman"", ""target"": ""Dark Depths"", ""value"":0.016541353387752835},","{""source"": ""Bomberman"", ""target"": ""Dark Depths"", ""value"":0.0002736163718985222},"
Bomberman,Death and taxes,129,10.5,0.075268817,"{""source"": ""Bomberman"", ""target"": ""Death and taxes"", ""value"":0.07526881720430112},","{""source"": ""Bomberman"", ""target"": ""Death and taxes"", ""value"":0.005665394843334496},"
Bomberman,Doomsday,134,8,0.056338028,"{""source"": ""Bomberman"", ""target"": ""Doomsday"", ""value"":0.056338028169014086},","{""source"": ""Bomberman"", ""target"": ""Doomsday"", ""value"":0.0031739734179726245},"
Bomberman,Dragon Stompy,118.8333333,15.66666667,0.116480793,"{""source"": ""Bomberman"", ""target"": ""Dragon Stompy"", ""value"":0.11648079306406302},","{""source"": ""Bomberman"", ""target"": ""Dragon Stompy"", ""value"":0.013567775152833072},"
Bomberman,Dredge,144,3,0.020408163,"{""source"": ""Bomberman"", ""target"": ""Dredge"", ""value"":0.02040816326530612},","{""source"": ""Bomberman"", ""target"": ""Dredge"", ""value"":0.00041649312786339016},"
Bomberman,Eldrazi Aggro,112.4,18.8,0.143292683,"{""source"": ""Bomberman"", ""target"": ""Eldrazi Aggro"", ""value"":0.14329268292682928},","{""source"": ""Bomberman"", ""target"": ""Eldrazi Aggro"", ""value"":0.020532792980368832},"
Bomberman,Elves,146,2,0.013513514,"{""source"": ""Bomberman"", ""target"": ""Elves"", ""value"":0.013513513513422207},","{""source"": ""Bomberman"", ""target"": ""Elves"", ""value"":0.0001826150474774446},"
Bomberman,Food Chain,145,2.5,0.016949153,"{""source"": ""Bomberman"", ""target"": ""Food Chain"", ""value"":0.01694915254237288},","{""source"": ""Bomberman"", ""target"": ""Food Chain"", ""value"":0.0002872737719046251},"
Bomberman,Goblins,134,8,0.056338028,"{""source"": ""Bomberman"", ""target"": ""Goblins"", ""value"":0.056338028169014086},","{""source"": ""Bomberman"", ""target"": ""Goblins"", ""value"":0.0031739734179726245},"
Bomberman,Humans,134,8,0.056338028,"{""source"": ""Bomberman"", ""target"": ""Humans"", ""value"":0.056338028169014086},","{""source"": ""Bomberman"", ""target"": ""Humans"", ""value"":0.0031739734179726245},"
Bomberman,Infect,146.5,2,0.013468013,"{""source"": ""Bomberman"", ""target"": ""Infect"", ""value"":0.013468013468013467},","{""source"": ""Bomberman"", ""target"": ""Infect"", ""value"":0.00018138738677459215},"
Bomberman,Junk,140,5,0.034482759,"{""source"": ""Bomberman"", ""target"": ""Junk"", ""value"":0.034482758620689655},","{""source"": ""Bomberman"", ""target"": ""Junk"", ""value"":0.0011890606420927466},"
Bomberman,Lands,146.7142857,1.714285714,0.011549567,"{""source"": ""Bomberman"", ""target"": ""Lands"", ""value"":0.011549566889205488},","{""source"": ""Bomberman"", ""target"": ""Lands"", ""value"":0.00013339249532823172},"
Bomberman,Legacy Landstill,138,6,0.041666667,"{""source"": ""Bomberman"", ""target"": ""Legacy Landstill"", ""value"":0.041666666666666664},","{""source"": ""Bomberman"", ""target"": ""Legacy Landstill"", ""value"":0.001736111111111111},"
Bomberman,LOAM,137,6.666666667,0.046403712,"{""source"": ""Bomberman"", ""target"": ""LOAM"", ""value"":0.04640371229984226},","{""source"": ""Bomberman"", ""target"": ""LOAM"", ""value"":0.002153304515206532},"
Bomberman,Maverick,134.6666667,7.666666666,0.053864169,"{""source"": ""Bomberman"", ""target"": ""Maverick"", ""value"":0.053864168614844596},","{""source"": ""Bomberman"", ""target"": ""Maverick"", ""value"":0.0029013486605684096},"
Bomberman,Merfolk,134,8,0.056338028,"{""source"": ""Bomberman"", ""target"": ""Merfolk"", ""value"":0.056338028169014086},","{""source"": ""Bomberman"", ""target"": ""Merfolk"", ""value"":0.0031739734179726245},"
Bomberman,MUD,107,21.5,0.167315175,"{""source"": ""Bomberman"", ""target"": ""MUD"", ""value"":0.16731517509727625},","{""source"": ""Bomberman"", ""target"": ""MUD"", ""value"":0.02799436781783221},"
Bomberman,Nic Fit,142,4,0.02739726,"{""source"": ""Bomberman"", ""target"": ""Nic Fit"", ""value"":0.02739726027491086},","{""source"": ""Bomberman"", ""target"": ""Nic Fit"", ""value"":0.0007506098705712087},"
Bomberman,Painter,114,18,0.136363636,"{""source"": ""Bomberman"", ""target"": ""Painter"", ""value"":0.13636363636363635},","{""source"": ""Bomberman"", ""target"": ""Painter"", ""value"":0.018595041322314047},"
Bomberman,Pikula,139,5.5,0.038062284,"{""source"": ""Bomberman"", ""target"": ""Pikula"", ""value"":0.03806228373702422},","{""source"": ""Bomberman"", ""target"": ""Pikula"", ""value"":0.0014487374432777386},"
Bomberman,Reanimator,143.5,3.333333333,0.022701476,"{""source"": ""Bomberman"", ""target"": ""Reanimator"", ""value"":0.022701475593540528},","{""source"": ""Bomberman"", ""target"": ""Reanimator"", ""value"":0.0005153569941241163},"
Bomberman,Slivers,128,11,0.079136691,"{""source"": ""Bomberman"", ""target"": ""Slivers"", ""value"":0.07913669064748201},","{""source"": ""Bomberman"", ""target"": ""Slivers"", ""value"":0.006262615806635266},"
Bomberman,Sneak & Show,135.3076923,7.384615384,0.051752022,"{""source"": ""Bomberman"", ""target"": ""Sneak & Show"", ""value"":0.05175202155769049},","{""source"": ""Bomberman"", ""target"": ""Sneak & Show"", ""value"":0.0026782717353076614},"
Bomberman,Stoneblade,139.6,5.2,0.035911602,"{""source"": ""Bomberman"", ""target"": ""Stoneblade"", ""value"":0.035911602209944764},","{""source"": ""Bomberman"", ""target"": ""Stoneblade"", ""value"":0.0012896431732853095},"
Bomberman,Storm,133.3333333,8.333333333,0.058823529,"{""source"": ""Bomberman"", ""target"": ""Storm"", ""value"":0.05882352941051904},","{""source"": ""Bomberman"", ""target"": ""Storm"", ""value"":0.0034602076123101985},"
Bomberman,UWx Control,135.6875,7.1875,0.050306212,"{""source"": ""Bomberman"", ""target"": ""UWx Control"", ""value"":0.050306211723534555},","{""source"": ""Bomberman"", ""target"": ""UWx Control"", ""value"":0.0025307149379730854},"
BUG Midrange,Burn,147.6666667,1.166666666,0.007838746,"{""source"": ""BUG Midrange"", ""target"": ""Burn"", ""value"":0.007838745796104829},","{""source"": ""BUG Midrange"", ""target"": ""Burn"", ""value"":6.144593565595113e-05},"
BUG Midrange,Canadian Threshold,104,23,0.181102362,"{""source"": ""BUG Midrange"", ""target"": ""Canadian Threshold"", ""value"":0.18110236220472442},","{""source"": ""BUG Midrange"", ""target"": ""Canadian Threshold"", ""value"":0.032798065596131194},"
BUG Midrange,Cloudpost Ramp,145,2.5,0.016949153,"{""source"": ""BUG Midrange"", ""target"": ""Cloudpost Ramp"", ""value"":0.016949152542602694},","{""source"": ""BUG Midrange"", ""target"": ""Cloudpost Ramp"", ""value"":0.0002872737719124154},"
BUG Midrange,Dark Depths,115.8888889,17.16666667,0.129018789,"{""source"": ""BUG Midrange"", ""target"": ""Dark Depths"", ""value"":0.12901878914248732},","{""source"": ""BUG Midrange"", ""target"": ""Dark Depths"", ""value"":0.016645847951793604},"
BUG Midrange,Death and taxes,142.6,3.7,0.025290499,"{""source"": ""BUG Midrange"", ""target"": ""Death and taxes"", ""value"":0.02529049897470951},","{""source"": ""BUG Midrange"", ""target"": ""Death and taxes"", ""value"":0.0006396093383897827},"
BUG Midrange,Death's Shadow,89.2,30.4,0.254180602,"{""source"": ""BUG Midrange"", ""target"": ""Death's Shadow"", ""value"":0.25418060200668896},","{""source"": ""BUG Midrange"", ""target"": ""Death's Shadow"", ""value"":0.06460777843648281},"
BUG Midrange,Delver (Other),66,42,0.388888889,"{""source"": ""BUG Midrange"", ""target"": ""Delver (Other)"", ""value"":0.3888888888888889},","{""source"": ""BUG Midrange"", ""target"": ""Delver (Other)"", ""value"":0.15123456790123457},"
BUG Midrange,Doomsday,110,20,0.153846154,"{""source"": ""BUG Midrange"", ""target"": ""Doomsday"", ""value"":0.15384615384615385},","{""source"": ""BUG Midrange"", ""target"": ""Doomsday"", ""value"":0.02366863905325444},"
BUG Midrange,Dredge,144,3,0.020408163,"{""source"": ""BUG Midrange"", ""target"": ""Dredge"", ""value"":0.02040816326530612},","{""source"": ""BUG Midrange"", ""target"": ""Dredge"", ""value"":0.00041649312786339016},"
BUG Midrange,Eldrazi Aggro,146.4,1.8,0.012145749,"{""source"": ""BUG Midrange"", ""target"": ""Eldrazi Aggro"", ""value"":0.012145748987854253},","{""source"": ""BUG Midrange"", ""target"": ""Eldrazi Aggro"", ""value"":0.00014751921847596262},"
BUG Midrange,Elves,130,10,0.071428571,"{""source"": ""BUG Midrange"", ""target"": ""Elves"", ""value"":0.07142857143571428},","{""source"": ""BUG Midrange"", ""target"": ""Elves"", ""value"":0.005102040817346938},"
